Energy_MeV,W_0.1mm,W_0.25mm,W_0.5mm,W_1.0mm
1.6829999999999998,0,3,35,67
1.685,0,4,54,52
1.6869999999999998,2,0,39,54
1.689,0,2,36,66
1.6909999999999998,2,2,27,60
1.693,0,2,28,65
1.6949999999999998,1,7,47,61
1.697,0,3,37,58
1.6989999999999998,3,5,34,53
1.701,0,1,40,67
1.7029999999999998,1,1,33,56
1.705,3,4,37,49
1.7069999999999999,1,1,35,55
1.709,2,2,38,51
1.7109999999999999,0,3,38,52
1.713,0,1,57,49
1.7149999999999999,0,2,48,48
1.717,0,0,33,63
1.7189999999999999,1,2,35,68
1.721,1,1,34,57
1.7229999999999999,1,2,26,47
1.725,1,1,32,59
1.7269999999999999,1,1,28,57
1.729,0,1,34,58
1.7309999999999999,3,1,34,61
1.733,0,5,40,45
1.7349999999999999,0,1,37,63
1.737,0,2,37,55
1.7389999999999999,0,1,43,48
1.741,0,2,28,57
1.7429999999999999,0,0,41,51
1.745,1,2,34,41
1.7469999999999999,0,2,31,59
1.749,0,3,35,77
1.751,0,0,47,50
1.7530000000000001,0,2,31,56
1.755,1,1,44,48
1.7570000000000001,1,1,30,66
1.759,1,1,34,53
1.7610000000000001,0,5,28,56
1.763,0,2,34,62
1.7650000000000001,0,3,39,54
1.767,0,1,46,60
1.7690000000000001,0,0,44,43
1.771,0,1,32,54
1.7730000000000001,1,1,29,59
1.775,0,2,22,55
1.7770000000000001,1,0,28,45
1.779,0,1,29,51
1.7810000000000001,0,0,28,55
1.783,0,1,28,55
1.7850000000000001,1,2,26,54
1.787,0,2,41,43
1.7890000000000001,0,0,40,74
1.791,1,5,35,45
1.7930000000000001,1,0,40,56
1.795,1,3,28,60
1.7970000000000002,0,0,37,57
1.799,0,0,38,45
1.8010000000000002,0,1,38,57
1.803,0,1,33,53
1.8050000000000002,3,1,37,50
1.807,1,1,34,55
1.8090000000000002,0,3,31,50
1.811,1,4,31,44
1.8130000000000002,0,3,24,58
1.815,0,1,35,58
1.8170000000000002,2,4,29,62
1.819,1,0,34,53
1.8210000000000002,1,0,30,49
1.823,1,1,26,56
1.8250000000000002,1,2,38,51
1.827,3,2,34,52
1.8290000000000002,0,2,29,50
1.831,2,2,25,57
1.8330000000000002,0,0,30,52
