Energy_MeV,W_0.1mm,W_0.25mm,W_0.5mm,W_1.0mm
1.243000,1,4,3,87
1.245000,2,3,1,76
1.247000,3,7,1,86
1.249000,2,7,2,83
1.251000,3,8,3,71
1.253000,3,3,3,82
1.255000,7,1,1,86
1.257000,2,6,2,80
1.259000,0,7,1,82
1.261000,8,8,2,100
1.263000,3,4,2,83
1.265000,4,15,1,92
1.267000,3,7,0,81
1.269000,6,5,1,82
1.271000,6,6,0,92
1.273000,0,7,2,65
1.275000,1,3,2,79
1.277000,4,8,2,75
1.279000,4,7,0,72
1.281000,4,4,2,82
1.283000,0,5,2,84
1.285000,1,5,1,74
1.287000,4,5,3,85
1.289000,1,7,4,91
1.291000,4,9,1,74
1.293000,1,12,1,58
1.295000,5,8,1,86
1.297000,2,4,2,69
1.299000,2,8,1,72
1.301000,3,11,3,81
1.303000,4,4,4,79
1.305000,2,8,1,70
1.307000,4,5,2,79
1.309000,2,10,0,68
1.311000,2,8,2,85
1.313000,0,4,3,85
1.315000,1,10,0,72
1.317000,3,6,0,71
1.319000,1,2,6,84
1.321000,2,9,1,88
1.323000,3,4,0,58
1.325000,3,5,0,81
1.327000,4,5,0,64
1.329000,2,6,1,70
1.331000,3,6,0,66
1.333000,5,5,3,71
1.335000,3,3,1,75
1.337000,2,2,3,79
1.339000,3,6,0,59
1.341000,2,5,2,82
1.343000,4,5,1,74
1.345000,4,4,1,71
1.347000,0,8,0,73
1.349000,4,3,1,78
1.351000,4,5,4,72
1.353000,4,4,3,73
1.355000,3,3,2,72
1.357000,1,4,2,71
1.359000,1,5,1,76
1.361000,5,7,5,74
1.363000,2,2,1,62
1.365000,0,4,2,73
1.367000,1,7,0,73
1.369000,4,6,1,65
1.371000,2,5,0,72
1.373000,2,5,1,56
1.375000,1,9,0,77
1.377000,1,3,0,67
1.379000,2,5,2,61
1.381000,4,2,2,73
1.383000,2,8,3,75
1.385000,1,5,0,71
1.387000,3,5,1,61
1.389000,1,1,1,70
1.391000,1,6,2,74
1.393000,2,5,1,77
1.395000,3,3,0,54
1.397000,1,9,2,75
1.399000,1,5,0,73
1.401000,2,5,1,61
1.403000,3,4,1,62
1.405000,0,8,1,77
1.407000,3,6,1,67
1.409000,1,5,2,65
1.411000,3,6,1,66
1.413000,2,4,0,63
1.415000,2,5,3,65
1.417000,2,4,1,56
1.419000,4,4,0,67
1.421000,5,11,0,68
1.423000,3,4,1,74
1.425000,0,9,3,72
1.427000,1,3,0,60
1.429000,0,5,2,78
1.431000,1,12,2,72
1.433000,2,8,0,51
1.435000,1,5,2,70
1.437000,0,5,2,66
1.439000,2,4,2,70
1.441000,0,6,1,69
1.443000,3,7,2,62
1.445000,2,6,1,66
1.447000,3,7,0,73
1.449000,1,7,0,69
1.451000,0,5,2,57
1.453000,4,3,3,56
1.455000,0,3,0,74
1.457000,4,4,1,68
1.459000,6,6,1,57
1.461000,6,1,0,62
1.463000,1,5,2,59
1.465000,1,2,2,76
1.467000,0,6,3,55
1.469000,2,3,0,72
1.471000,0,8,3,73
1.473000,0,2,3,53
1.475000,1,9,1,68
1.477000,4,3,0,77
1.479000,1,5,4,77
1.481000,0,1,2,74
1.483000,2,4,3,60
1.485000,1,5,2,69
1.487000,4,8,2,57
1.489000,0,1,1,65
1.491000,1,3,0,63
1.493000,3,3,2,67
1.495000,1,4,1,61
1.497000,0,4,2,57
1.499000,1,3,2,59
1.501000,3,4,2,55
1.503000,3,4,2,59
1.505000,2,6,0,68
1.507000,2,7,3,48
1.509000,1,2,0,66
1.511000,2,5,0,62
1.513000,2,5,3,56
1.515000,4,1,2,60
1.517000,1,2,0,62
1.519000,2,4,0,42
1.521000,1,3,3,66
1.523000,1,3,0,66
1.525000,0,5,2,48
1.527000,3,1,2,73
1.529000,3,4,2,69
1.531000,3,6,1,58
1.533000,0,4,1,54
1.535000,2,3,0,52
1.537000,1,1,1,50
1.539000,3,6,0,66
1.541000,5,2,1,57
1.543000,3,5,0,58
1.545000,6,3,2,57
1.547000,2,7,1,46
1.549000,4,4,4,56
1.551000,0,9,0,54
1.553000,5,3,0,52
1.555000,2,4,1,55
1.557000,0,7,0,53
1.559000,2,8,1,67
1.561000,3,6,4,54
1.563000,2,7,0,65
1.565000,1,6,1,53
1.567000,0,4,1,56
1.569000,3,5,4,59
1.571000,2,3,1,49
1.573000,1,3,2,42
1.575000,4,6,0,53
1.577000,0,3,1,56
1.579000,3,3,1,48
1.581000,3,5,2,57
1.583000,1,5,0,57
1.585000,2,7,2,59
1.587000,1,2,1,61
1.589000,1,2,0,48
1.591000,1,5,3,50
1.593000,0,4,0,56
1.595000,2,7,0,40
1.597000,3,5,0,56
1.599000,3,2,0,49
1.601000,3,4,1,63
1.603000,2,4,0,49
1.605000,2,1,1,57
1.607000,1,7,1,51
1.609000,0,6,0,48
1.611000,2,2,2,55
1.613000,4,3,1,46
1.615000,1,2,1,47
1.617000,1,4,1,50
1.619000,0,4,0,55
1.621000,2,5,2,53
1.623000,0,3,1,56
1.625000,1,6,1,56
1.627000,4,2,0,58
1.629000,2,0,1,42
1.631000,1,1,2,40
1.633000,0,4,1,59
1.635000,1,3,0,52
1.637000,1,8,1,35
1.639000,1,5,3,53
1.641000,1,1,0,45
1.643000,1,6,0,64
1.645000,2,3,2,44
1.647000,1,3,1,47
1.649000,2,1,2,61
1.651000,2,5,2,54
1.653000,0,2,1,43
1.655000,0,5,0,49
1.657000,1,5,1,60
1.659000,2,3,0,48
1.661000,0,4,1,50
1.663000,0,7,1,59
1.665000,1,6,0,52
1.667000,1,5,3,38
1.669000,0,6,1,40
1.671000,0,5,3,43
1.673000,1,4,0,55
1.675000,1,1,1,58
1.677000,2,0,0,43
1.679000,1,3,1,39
1.681000,1,7,0,45
1.683000,2,4,0,51
1.685000,2,5,1,55
1.687000,2,2,1,52
1.689000,2,7,1,40
1.691000,2,4,1,51
1.693000,1,3,1,47
1.695000,1,4,0,40
1.697000,0,4,3,60
1.699000,0,1,2,36
1.701000,0,3,2,47
1.703000,1,0,0,66
1.705000,2,1,1,52
1.707000,4,6,1,46
1.709000,1,1,0,46
1.711000,1,7,0,45
1.713000,2,5,1,51
1.715000,2,3,0,55
1.717000,1,3,0,45
1.719000,1,2,0,52
1.721000,1,3,1,40
1.723000,0,1,1,41
1.725000,3,1,0,40
1.727000,1,5,1,40
1.729000,1,2,0,51
1.731000,3,4,0,57
1.733000,2,4,0,47
1.735000,1,3,2,40
1.737000,0,2,1,49
1.739000,0,4,2,57
1.741000,4,5,0,38
1.743000,2,1,0,37
1.745000,1,2,0,45
1.747000,1,2,0,41
1.749000,1,5,1,33
1.751000,1,4,0,52
1.753000,0,2,1,50
1.755000,1,3,2,35
1.757000,2,5,0,52
1.759000,1,3,0,41
1.761000,1,4,2,46
1.763000,3,2,3,46
1.765000,1,3,0,43
1.767000,0,2,1,49
1.769000,2,2,2,55
1.771000,2,2,1,33
1.773000,1,3,2,45
1.775000,0,5,0,42
1.777000,1,5,0,49
1.779000,2,6,0,30
1.781000,2,2,1,44
1.783000,3,7,1,35
1.785000,1,5,0,29
1.787000,0,1,1,43
1.789000,0,7,3,42
1.791000,2,3,1,47
1.793000,1,5,1,56
1.795000,1,1,1,55
1.797000,1,3,1,48
1.799000,5,4,2,56
1.801000,1,2,2,39
1.803000,1,3,2,30
1.805000,2,5,1,43
1.807000,3,5,0,32
1.809000,1,3,1,48
1.811000,1,1,1,38
1.813000,1,1,0,44
1.815000,1,2,1,32
1.817000,1,3,1,44
1.819000,1,9,1,44
1.821000,3,6,1,51
1.823000,0,7,1,50
1.825000,2,6,0,31
1.827000,2,0,2,36
1.829000,3,0,1,47
1.831000,0,2,2,42
1.833000,1,2,1,37
1.835000,2,1,0,38
1.837000,1,3,0,41
1.839000,5,3,1,49
1.841000,3,2,1,45
1.843000,1,3,2,37
1.845000,1,1,1,44
1.847000,1,3,3,43
1.849000,1,3,1,43
1.851000,4,5,1,32
1.853000,2,2,1,34
1.855000,1,1,1,36
1.857000,1,2,0,39
1.859000,0,1,1,42
1.861000,2,3,2,36
1.863000,2,9,0,40
1.865000,0,3,1,32
1.867000,3,2,2,33
1.869000,2,4,0,34
1.871000,1,2,2,36
1.873000,3,1,3,36
